year,index,player_url,TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO,GO/AO,TB,IBB,BABIP,AB/HR
2005,8,,Arizona Diamondbacks,NL,162,5550,696,1419,291,27,191,670,606,1094,67,26,0.256,0.332,0.421,0.753,6327,55,71,45,132,1680,1.14,2337,51,0.285,29.06
2005,9,,Baltimore Orioles,AL,162,5551,729,1492,296,27,189,700,447,902,83,37,0.269,0.327,0.434,0.761,6134,54,40,42,145,1573,0.94,2409,31,0.289,29.37
2005,10,,Atlanta Braves,NL,162,5486,769,1453,308,37,184,733,534,1084,92,32,0.265,0.333,0.435,0.768,6186,45,75,46,146,1631,1.13,2387,56,0.298,29.82
2005,11,,Milwaukee Brewers,NL,162,5448,726,1413,327,19,175,689,531,1162,79,34,0.259,0.331,0.423,0.754,6156,73,66,38,137,1512,1.03,2303,55,0.298,31.13
2005,11,,New York Mets,NL,162,5505,722,1421,279,32,175,683,486,1075,153,40,0.258,0.322,0.416,0.738,6146,48,69,38,103,1617,1.08,2289,49,0.29,31.46
2005,13,,St. Louis Cardinals,NL,162,5538,805,1494,287,26,170,757,534,947,83,36,0.27,0.339,0.423,0.762,6246,62,77,35,127,1730,1.17,2343,60,0.297,32.58
2005,14,,Detroit Tigers,AL,162,5602,723,1521,283,45,168,678,384,1038,66,28,0.272,0.321,0.428,0.749,6136,53,44,52,137,1599,1.04,2398,24,0.304,33.34
2005,15,,Philadelphia Phillies,NL,162,5542,807,1494,282,35,167,760,639,1083,116,27,0.27,0.348,0.423,0.771,6345,56,62,46,107,1512,0.97,2347,76,0.306,33.19
2005,16,,Houston Astros,NL,163,5462,693,1400,281,32,161,654,481,1037,115,44,0.256,0.322,0.408,0.73,6139,72,82,42,116,1592,1.02,2228,43,0.288,33.92
2005,17,,Tampa Bay Devil Rays,AL,162,5552,750,1519,289,40,157,717,412,990,151,49,0.274,0.329,0.425,0.754,6120,69,34,51,133,1602,1.05,2359,25,0.306,35.36
2005,18,,Oakland Athletics,AL,162,5627,772,1476,310,20,155,739,537,819,31,22,0.262,0.33,0.407,0.737,6275,52,19,40,148,1645,0.94,2291,22,0.281,36.3
2005,19,,Colorado Rockies,NL,162,5542,740,1477,280,34,150,704,509,1103,65,32,0.267,0.333,0.411,0.744,6238,64,88,34,125,1645,1.14,2275,36,0.307,36.95
2005,20,,Los Angeles Dodgers,NL,162,5433,685,1374,284,21,149,653,541,1094,58,35,0.253,0.326,0.395,0.721,6134,67,57,33,139,1579,1.07,2147,30,0.29,36.46
